CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1985-1557,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/03/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 25,13265289,13265289,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,9.744,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,1.42,188400,,,,331632,,,,,,,,,
2008-1046,Livermore,2008-1046.pdf (http://cdiacdocs.sto.ca.gov/2008-1046.pdf),SOLD,10/21/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,10850000,10850000,0,137578,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.201,NIC,,,,11/02/2009 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN Public Finance,,8940,Jones Hall A Professional Law Corp,,,,Livermore,0.47,51325,,,,17685,,12000,,,,,,7200,5500
1989-0343,Hayward Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/14/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,6400000,6400000,0,,Public lease revenue bond,"Water Supply, Storage, Distribution",General fund of issuing jurisdiction,,6.807,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Comp,Unknown,Merrill Lynch Capital Markets,,,,Charles A Bell,,,Hunter & Anderson,,,,,0.61,38800,,,,127351,,,,,,,,,
2000-0019,Alameda,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/01/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Alameda Power & Telecom Ser B,16000000,16000000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",Public enterprise revenues,,,VAR,,Federally Taxable,,05/31/2004 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,CBL Capital Corporation,,,,E Wagner & Associates Inc,,,Foley & Lardner,,,,State Street Bank & Trust Company,4.98,796694,,,,0,,,,,,,,,
1996-1119,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,17000000,17000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.78,NIC,,,,07/01/1997 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,BT Securities Corporation,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,Fremont,0.19,33007,,,,0,,,,,,,,,
1991-1474,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/10/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 43,4600000,4600000,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,8.865,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,KNN/Kelling Northcross & Nobriga Inc,,,Sturgis Ness Brunsell & Sperry,,,,,0.62,28500,,,,0,,,,,,,,,
2008-0175,Alameda County Industrial Development Authority,2008-0175.pdf (http://cdiacdocs.sto.ca.gov/2008-0175.pdf),SOLD,05/01/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Oakland Pallet Co Inc Series A,2340000,2340000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,08/01/2008 12:00:00 AM,05/01/2033 12:00:00 AM,NO,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Comerica Bank,Neg,Unknown,Westhoff Cone & Holmstedt,,,,Progressive Capital,,11500,Lofton & Jennings,,,,U.S. Bank National Association,2.25,52678,,,,2925,,19057,,,,2000,,,17196
1993-0643,Union City Community Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/24/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,,16000000,16000000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,5.776,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Sutro & Company Inc,,,,,,,Jones Hall Hill & White,,,,,2.24,358496,,,,232000,,,,,,,,,
1998-1851,Livermore Valley Joint Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/07/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,8500000,8500000,0,37825,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,3.115,,TIC,,,,01/21/2000 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,NationsBanc Montgomery Securities,,,,Government Financial Strategies Inc,,0,Kronick Moskovitz Tiedemann & Girard,,,,Alameda County,0.25,21125,0,0,0,0,0,0,0,0,0,0,0,0,21125
2016-1146,Berkeley Unified School District,2016-1146.pdf (http://cdiacdocs.sto.ca.gov/2016-1146.pdf),SOLD,04/19/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,17905000,0,17905000,1646667.8,General obligation bond,K-12 School Facility,Property tax revenues,1.952,0,,,,08/01/2023 12:00:00 AM,08/01/2031 12:00:00 AM,NO,S:AA+,NOT RATED,F:AAA,NOT RATED,,,Comp,NO,Fidelity Capital Markets,,,,KNN Public Finance,,46582.24,Quint & Thimmig LLP,,Quint & Thimmig LLP,,U.S. Bank National Association,1.95,349718.95,120195.37,0,0,120195.37,0,60000,0,25000,0,1700,0,35500,60741.34
1989-0843,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,09/25/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Granada Woods AD No 88-4,133487,133487,0,,Special assessment bond,"Other Capital Improvements, Public Works",Special assessments,,9.121,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Livermore,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,0,0,,,,0,,,,,,,,,
2011-0366,Berkeley Unified School District,2011-0366.pdf (http://cdiacdocs.sto.ca.gov/2011-0366.pdf),SOLD,05/10/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,"Series A, Qualified School Construction Bonds",25000000,25000000,0,268234,General obligation bond,K-12 School Facility,Property tax revenues,5,,TIC,,Federally Taxable,,05/01/2026 12:00:00 AM,NO,S:AA-,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Robert W Baird & Co,,,,KNN Public Finance,,36500,Quint & Thimmig LLP,,,,U.S. Bank National Association,1.49,371982.5,0,0,0,257150,0,53571.43,0,0,0,1380,0,10928.57,12452.5
1985-0728,Hayward,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/18/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,6500000,6500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,4.879,NIC,,,,07/30/1986 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling & Co,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,10000,,,,,,,,,
1989-0396,Port of Oakland,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/10/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Harbor Port District,,84999710,0,84999710,,Public enterprise revenue bond,"Multiple Capital Improvements, Public Works",Public enterprise revenues,7.473,,TIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Shearson Lehman Hutton Inc,,,,Dinkelspiel Belmont & Co Inc,,,Harrison Taylor & Brazile,,,,,1.35,1144025,,,,0,,,,,,,,,
2001-1250,Peralta Community College District (CCCFA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/05/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,Community College District,CCCFA 2001 TRAN Pool,5630000,5630000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,2.6,,TIC,,,,06/28/2002 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,Sutro & Company Inc,,,Stradling Yocca Carlson & Rauth,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,
2016-2361,Successor Agency to the Hayward Redevelopment Agency,2016-2361.pdf (http://cdiacdocs.sto.ca.gov/2016-2361.pdf),SOLD,11/29/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Successor Agency,,35270000,0,35270000,3680167.7,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,3.339,0,,,,03/01/2026 12:00:00 AM,03/01/2036 12:00:00 AM,NO,S:AA-,NOT RATED,NOT RATED,NOT RATED,Oth,National Public Finance Guarantee Corporation,Neg,NO,Stifel Nicolaus & Company Inc,,,,NHA Advisors,,61956,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,The Bank of New York Mellon Trust Company NA,1.45,511611.74,155236.61,0,0,155236.61,0,85000,0,45000,0,3250,37213.71,29000,94955.42
2001-1648,Alameda Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/13/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,Business & Waterfront Imp/CFD No 4 Series A,10000000,10000000,0,0,Revenue bond,"Redevelopment, Multiple Purposes",Local obligations,,,VAR,,Federally Taxable,03/15/2002 12:00:00 AM,02/01/2032 12:00:00 AM,NO,S:AAA/A-1,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,E J De La Rosa & Company Inc,,,,Evensen Dodge Inc,,120000,Quint & Thimmig LLP,,,,Union Bank of California,7.46,745834,0,0,0,0,0,77500,0,20000,0,13360,439374,15600,60000
1997-1235,San Lorenzo Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/18/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,17000000,17000000,0,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,,VAR,,,,07/01/2022 12:00:00 AM,N/A,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Banque Nationale de Paris,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,Money Measures,,,Quint & Thimmig LLP,,,,US Trust Company of California NA,1.49,252500,,,,212500,,,,,,,,,
2000-1389,San Leandro CFD No 1,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/03/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Mello-Roos,Community Facilities District,Cherrywood,5495000,5495000,0,-413,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,,6.508,NIC,,,09/01/2008 12:00:00 AM,09/01/2025 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Prager McCarthy & Sealy,,,,Emily Wagner & Associates,,0,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,5.88,323354,0,0,0,98910,0,0,0,0,0,0,0,0,224444
2016-0791,Emeryville Redevelopment Agency,2016-0791.pdf (http://cdiacdocs.sto.ca.gov/2016-0791.pdf),SOLD,07/23/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,1998-1543,Cities,Redevelopment Agency,,10390000,10390000,0,0,Marks-Roos Authority Loan,"Multiple Capital Improvements, Public Works",Tax increment,,6.8,,,Federally Taxable,09/01/2008 12:00:00 AM,09/01/2026 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Emeryville Public Financing Authority,,,,,0,Quint & Thimmig LLP,,,,US Bank Corporate Trust Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-0557,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/09/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Greenville/Brisa AD No 1988-2,9680000,9680000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.9,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,0.08,7500,,,,169400,,,,,,,,,
1997-0152,Hayward,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/16/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,7300000,7300000,0,,Certificates of participation/leases,"Wastewater Collection, Treatment",General fund of issuing jurisdiction,,4.942,NIC,,,,02/01/2018 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall A Professional Law Corp,,,,Chase Manhattan Bank,1.86,135982,,,,53463,,,,,,,,,
1992-0723,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,08/10/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,First St/I-580 AD No 91-1,3359341,3359341,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,7.59,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,3.3,111000,,,,83983.05,,,,,,,,,
2001-1647,Alameda Community Improvement Commission,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/01/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Business & Waterfront IA Sub Series B,4640000,4640000,,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,7.266,NIC,,Federally Taxable,,02/01/2012 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,E J De La Rosa & Company Inc,,,,Evensen Dodge Inc,,29342,Quint & Thimmig LLP,,,,Union Bank of California,0.72,33462,,,,69600,,,,,,4120,,,
1991-1241,Oro Loma Sanitary District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/17/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Sanitation District,,12000000,12000000,0,,Public enterprise revenue bond,"Wastewater Collection, Treatment",Public enterprise revenues,,6.287,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Comp,Unknown,Smith Barney Harris Upham & Co Inc,,,,Kadie Jensen & Johnson,,,Brown & Wood,,,,,0,0,,,,180000,,,,,,,,,
2008-0183,Alameda County Industrial Development Authority,2008-0183.pdf (http://cdiacdocs.sto.ca.gov/2008-0183.pdf),SOLD,03/26/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Oakland Pallet Co Inc Series B,1048000,1048000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Federally Taxable,08/01/2008 12:00:00 AM,05/01/2033 12:00:00 AM,NO,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Comerica Bank,Neg,Unknown,Westhoff Cone & Holmstedt,,,,Progressive Capital,,11500,Lofton & Jennings,,,,U.S. Bank National Association,4.87,51063,,,,1310,,19057,,,,2000,,,17196
1996-1575,Oakland Redevelopment Agency,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/31/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Old Town Sq,10000000,10000000,0,,Certificates of participation/leases,Single-Family Housing,Private obligor payments,6.47,,TIC,,,,01/01/2031 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wells Fargo Bank National Association,,,,Kitahata & Company,,,Lofton De Lancie & Nelson,,,,First Trust of California NA,0,0,,,,0,,,,,,,,,
1992-1114,Alameda,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/29/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,2500000,2500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,3.088,NIC,,,,08/03/1993 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Lehman Brothers,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,10875,,,,,,,,,
1991-0626,ABAG Finance Corporation,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/21/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,St Helena,4645000,4645000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,7.858,NIC,,,,,N/A,S:BBB,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0.18,8424,,,,53417,,,,,,,,,
1996-1569,Alameda County Transportation Commission,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/14/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Transit Authority,,90000000,90000000,0,,Sales tax revenue bond,Public Transit,Sales tax revenues,,4.16,NIC,,,,11/01/2001 12:00:00 AM,N/A,S:AAA,M:Aaa,F:AAA,NOT RATED,Ins,Ambac,Comp,Unknown,BA Securities,,,,Rauscher Pierce Refsness Inc,,,Brown & Wood,,,,US Trust Company of California NA,0.39,350408,,,,238598,,,,,,,,,
1993-1340,Oakland,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,08/04/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,80000000,80000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.001,NIC,,,,08/15/1994 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Goldman Sachs & Company,,,,Rauscher PierceRefsnes Inc,,,Brown & Wood,,,,,0,0,,,,0,,,,,,,,,
2009-1076,Piedmont Unified School District,2009-1076.pdf (http://cdiacdocs.sto.ca.gov/2009-1076.pdf),SOLD,09/30/2009 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series C,19000000,19000000,0,1013545,General obligation bond,K-12 School Facility,Property tax revenues,,4.604,NIC,,,08/01/2019 12:00:00 AM,08/01/2034 12:00:00 AM,NO,S:AA,M:Aa3,NOT RATED,NOT RATED,,,Comp,Unknown,Stone & Youngberg,,,,KNN Public Finance,,45825,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,1.41,267134,0,0,0,117134.3,0,60000,0,10000,0,1255,0,17496.72,15423.28
1998-0045,Oakland,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,11/20/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,1997-1554,Cities,City Government,Grizzly Peak Utility Underground AD    !,105750,105750,0,,Special assessment bond,"Other Capital Improvements, Public Works",Special assessments,,5.523,NIC,,,,09/02/2012 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Oakland Joint Powers Financing Authority,,,,The PFM Group/Public Financial Management Inc,,,Brown & Wood,,,,First Trust of California NA,0,0,,,,978,,,,,,,,,
1985-1696,Dublin,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/18/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Project No 1,11968000,11968000,0,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,9.339,NIC,,,,,N/A,S:BBB+(p),NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,First California Regional Securities Inc,,,,,,,Robert M Haight Law Office of,,,,,0.23,27500,,,,394944,,,,,,,,,
1986-1071,Newark,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,02/12/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,ID No 22,1268652,1268652,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,7.083,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,O:unknown,,,Neg,Unknown,Wulff Hansen & Company,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,9.74,123573,,,,26238,,,,,,,,,
